S/N,REGION,DISTRICT,CONSTITUENCY,CANDIDATE,PARTY,COMMENT
1,KMP,KAMPALA,WOMAN MP,MALENDE SHAMIM,NUP,NEW
2,KMP,KAMPALA,NAKAWA EAST,BALIMWEZO RONALD NSUBUGA,NUP,NEW
3,KMP,KAMPALA,NAKAWA WEST,SSENYONYI JOEL,NUP,NEW
4,KMP,KAMPALA,KAWEMPE NORTH,SSEGIRINYA MUHAMMED,NUP,NEW
5,KMP,KAMPALA,KAWEMPE SOUTH,KAZIBWE BASHIR,NUP,NEW
7,KMP,KAMPALA,LUBAGA SOUTH,MUKASA ALOYSIUS CHARLTON,NUP,NEW
8,KMP,KAMPALA,LUBAGA NORTH,KAWALYA ABUBAKAR,NUP,NEW
10,KMP,KAMPALA,MAKINDYE EAST,NYEKO DERRICK,NUP,NEW
11,KMP,WAKISO,WOMAN MP,NALUYIMA BETTY ESTHER,NUP,NEW
12,KMP,WAKISO,BUSIRO NORTH,NSUBUGA PAUL,NUP,NEW
14,KMP,WAKISO,BUSIRO SOUTH,MATOVU CHARLES,NUP,NEW
15,KMP,WAKISO,ENTEBBE MUNICIPALITY,KAKEMBO MICHEAL MBWATEKAMWA,NUP,NEW
16,KMP,WAKISO,MAKINDYE SSABAGABO MUNICIPALITY,SSERUKENYA DAVID,NUP,NEW
18,KMP,WAKISO,NANSANA MUNICIPALITY,WAKAYIMA MUSOKE NSEREKO,NUP,NEW
19,KMP,WAKISO,KYADONDO EAST,NKUNYINGI MUWADA,NUP,NEW
20,EAST BUGANDA,BUIKWE,WOMAN MP,NANTEZA RESTY,FDC,NEW
21,EAST BUGANDA,BUIKWE,LUGAZI MUNICIPALITY,SSELUBULA STEPHEN,NUP,NEW
22,EAST BUGANDA,BUIKWE,BUIKWE SOUTH,HON. BAYIGGA MICHAEL PHILIP LULUME,DP,NEW
23,EAST BUGANDA,BUIKWE,NJERU MUNICIPALITY,LWANGA JIMMY,NUP,NEW
24,EAST BUGANDA,BUVUMA,WOMAN MP,NAKAZIBA SUSAN MUGABI,NUP,NEW
